status	key	command
Prediction	Up	ConvertPrev
Conversion	Up	ConvertPrev
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Precomposition	Space	InsertSpace
Composition	Space	Convert
Conversion	Space	ConvertNext
Conversion	Shift Tab	ConvertPrev
Precomposition	Shift Space	InsertAlternateSpace
Composition	Shift Space	Convert
Conversion	Shift Space	ConvertNext
Conversion	Shift Right	SegmentWidthExpand
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Composition	Shift Muhenkan	ToggleAlphanumericMode
Conversion	Shift Left	SegmentWidthShrink
DirectInput	Shift Henkan	Reconvert
Precomposition	Shift Henkan	Reconvert
Composition	Shift Henkan	ToggleAlphanumericMode
Conversion	Shift Henkan	ToggleAlphanumericMode
Suggestion	Shift Enter	CommitFirstSuggestion
Composition	Right	MoveCursorRight
Conversion	Right	SegmentFocusRight
DirectInput	Muhenkan	IMEOff
Precomposition	Muhenkan	IMEOff
Conversion	Muhenkan	CancelAndIMEOff
Suggestion	Muhenkan	CancelAndIMEOff
Prediction	Muhenkan	CancelAndIMEOff
Composition	Left	MoveCursorLeft
Conversion	Left	SegmentFocusLeft
Precomposition	Kana	ToggleAlphanumericMode
Composition	Kana	ToggleAlphanumericMode
Conversion	Insert	Cancel
DirectInput	Henkan	IMEOn
Precomposition	Henkan	IMEOn
Composition	Henkan	CancelAndIMEOff
Composition	Henkan	Convert
Conversion	Henkan	CancelAndIMEOff
Suggestion	Henkan	CancelAndIMEOff
Composition	F9	ConvertToFullAlphanumeric
Conversion	F9	ConvertToFullAlphanumeric
Composition	F8	ConvertToHalfWidth
Conversion	F8	ConvertToHalfWidth
Composition	F7	ConvertToFullKatakana
Conversion	F7	ConvertToFullKatakana
Composition	F6	ConvertToHiragana
Conversion	F6	ConvertToHiragana
Composition	F2	ConvertWithoutHistory
Precomposition	F10	ToggleAlphanumericMode
Composition	F10	ConvertToHalfAlphanumeric
Conversion	F10	ConvertToHalfAlphanumeric
Composition	ESC	Cancel
Conversion	ESC	Cancel
Composition	Enter	Commit
Conversion	Enter	Commit
Precomposition	Eisu	ToggleAlphanumericMode
Composition	Eisu	ToggleAlphanumericMode
Conversion	Eisu	ToggleAlphanumericMode
Prediction	Down	ConvertNext
Suggestion	Down	PredictAndConvert
Composition	Down	Commit
Conversion	Down	CommitOnlyFirstSegment
Suggestion	Delete	DeleteSelectedCandidate
Composition	Delete	Delete
Prediction	Ctrl Up	ConvertPrev
Composition	Ctrl u	ConvertToHiragana
Conversion	Ctrl u	ConvertToHiragana
Composition	Ctrl Space	Convert
Conversion	Ctrl Space	ConvertNext
Conversion	Ctrl Shift Right	SegmentWidthExpand
Conversion	Ctrl Shift Left	SegmentWidthShrink
Composition	Ctrl Right	MoveCursorToEnd
Conversion	Ctrl Right	SegmentFocusLast
Composition	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl o	ConvertToHalfWidth
Composition	Ctrl n	Commit
Conversion	Ctrl n	CommitOnlyFirstSegment
Composition	Ctrl m	Commit
Conversion	Ctrl m	Commit
Composition	Ctrl Left	MoveCursorToBeginning
Conversion	Ctrl Left	SegmentFocusFirst
Composition	Ctrl l	MoveCursorRight
Conversion	Ctrl l	SegmentWidthExpand
Composition	Ctrl k	MoveCursorLeft
Conversion	Ctrl k	SegmentWidthShrink
Composition	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl i	ConvertToFullKatakana
Composition	Ctrl h	Backspace
Conversion	Ctrl h	Cancel
Composition	Ctrl g	Delete
Precomposition	Ctrl F7	LaunchWordRegisterDialog
Precomposition	Ctrl F12	LaunchConfigDialog
Suggestion	Ctrl Enter	CommitFirstSuggestion
Prediction	Ctrl Down	ConvertNext
Suggestion	Ctrl Down	PredictAndConvert
Precomposition	Ctrl Backspace	Undo
Composition	Ctrl @	ConvertToHalfAlphanumeric
Conversion	Ctrl @	ConvertToHalfAlphanumeric
Composition	Ctrl [	Cancel
Conversion	Ctrl [	Cancel
Precomposition	Backspace	Revert
Composition	Backspace	Backspace
Conversion	Backspace	Cancel
Composition	Kanji	CancelAndIMEOff
Composition	OFF	CancelAndIMEOff
Composition	ON	IMEOn
Conversion	Kanji	CancelAndIMEOff
Conversion	OFF	CancelAndIMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	Kanji	CancelAndIMEOff
Precomposition	OFF	CancelAndIMEOff
Precomposition	ON	IMEOn
